Sample in Buffer,Sample in Window,TRIGGER,u_ndpp_wrapper/user_logic_native_mem_valid[0:0],u_ndpp_wrapper/user_logic_native_mem_address_1[23:0],u_ndpp_wrapper/user_logic_native_mem_address[31:24],u_ndpp_wrapper/user_logic_native_mem_strb[23:0],u_ndpp_wrapper/user_logic_native_mem_data[7:0],u_ndpp_wrapper/trigger_counter[7:0],u_ndpp_wrapper/trigger_counter_out[7:0],u_ndpp_wrapper/dma_p0_rx_axis_tvalid_temp,u_ndpp_wrapper/dma_p0_rx_axis_tdata[7:0],u_ndpp_wrapper/dma_p0_rx_axis_tready_temp
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
183,183,0,0,300b00,00,000000,00,00,00,0,00,1
184,184,0,0,300b20,00,000000,07,00,00,0,00,1
185,185,0,1,3007c0,00,ffffff,07,00,00,0,00,1
186,186,0,1,3007e0,00,ffffff,07,00,00,0,00,1
187,187,0,0,300800,00,000000,00,00,00,0,00,1
188,188,0,0,300820,00,000000,0a,00,00,0,00,1
189,189,0,1,300a40,00,ffffff,0a,00,00,0,00,1
190,190,0,1,300a60,00,ffffff,0a,00,00,0,00,1
191,191,0,0,300a80,00,000000,00,00,00,0,00,1
192,192,0,0,300aa0,00,000000,0e,00,00,0,00,1
193,193,0,1,300e40,00,ffffff,0e,00,00,0,00,1
194,194,0,1,300e60,00,ffffff,0e,00,00,0,00,1
195,195,0,0,300e80,00,000000,00,00,00,0,00,1
196,196,0,0,300ea0,00,000000,0e,00,00,0,00,1
197,197,0,1,300e80,00,ffffff,0e,00,00,0,00,1
198,198,0,1,300ea0,00,ffffff,0e,00,00,0,00,1
199,199,0,0,300ec0,00,000000,00,00,00,0,00,1
200,200,0,0,300ee0,00,000000,0a,00,00,0,00,1
201,201,0,1,300a00,00,ffffff,0a,00,00,0,00,1
202,202,0,1,300a20,00,ffffff,0a,00,00,0,00,1
203,203,0,0,300a40,00,000000,00,00,00,0,00,1
204,204,0,0,300a60,00,000000,0f,00,00,0,00,1
205,205,0,1,300f00,00,ffffff,0f,00,00,0,00,1
206,206,0,1,300f20,00,ffffff,0f,00,00,0,00,1
207,207,0,0,300f40,00,000000,00,00,00,0,00,1
208,208,0,0,300f60,00,000000,0e,00,00,0,00,1
209,209,0,1,300ec0,00,ffffff,0e,00,00,0,00,1
210,210,0,1,300ee0,00,ffffff,0e,00,00,0,00,1
211,211,0,0,300f00,00,000000,00,00,00,0,00,1
212,212,0,0,300f20,00,000000,0f,00,00,0,00,1
213,213,0,1,300f80,00,ffffff,0f,00,00,0,00,1
214,214,0,1,300fa0,00,ffffff,0f,00,00,0,00,1
215,215,0,0,300fc0,00,000000,00,00,00,0,00,1
216,216,0,0,300fe0,00,000000,0b,00,00,0,00,1
217,217,0,1,300bc0,00,ffffff,0b,00,00,0,00,1
218,218,0,1,300be0,00,ffffff,0b,00,00,0,00,1
219,219,0,0,300c00,00,000000,00,00,00,0,00,1
220,220,0,0,300c20,00,000000,0b,00,00,0,00,1
221,221,0,1,300b40,00,ffffff,0b,00,00,0,00,1
222,222,0,1,300b60,00,ffffff,0b,00,00,0,00,1
223,223,0,0,300b80,00,000000,00,00,00,0,00,1
224,224,0,0,300ba0,00,000000,0f,00,00,0,00,1
225,225,0,1,300fc0,00,ffffff,0f,00,00,0,00,1
226,226,0,1,300fe0,00,ffffff,0f,00,00,0,00,1
227,227,0,0,301000,00,000000,00,00,00,0,00,1
228,228,0,0,301020,00,000000,0d,00,00,0,00,1
229,229,0,1,300d40,00,ffffff,0d,00,00,0,00,1
230,230,0,1,300d60,00,ffffff,0d,00,00,0,00,1
231,231,0,0,300d80,00,000000,00,00,00,0,00,1
232,232,0,0,300da0,00,000000,0d,00,00,0,00,1
233,233,0,1,300dc0,00,ffffff,0d,00,00,0,00,1
234,234,0,1,300de0,00,ffffff,0d,00,00,0,00,1
235,235,0,0,300e00,00,000000,00,00,00,0,00,1
236,236,0,0,300e20,00,000000,0f,00,00,0,00,1
237,237,0,1,300f40,00,ffffff,0f,00,00,0,00,1
238,238,0,1,300f60,00,ffffff,0f,00,00,0,00,1
239,239,0,0,300f80,00,000000,00,00,00,0,00,1
240,240,0,0,300fa0,00,000000,09,00,00,0,00,1
241,241,0,1,300900,00,ffffff,09,00,00,0,00,1
242,242,0,1,300920,00,ffffff,09,00,00,0,00,1
243,243,0,0,300940,00,000000,00,00,00,0,00,1
244,244,0,0,300960,00,000000,05,00,00,0,00,1
245,245,0,1,300540,00,ffffff,05,00,00,0,00,1
246,246,0,1,300560,00,ffffff,05,00,00,0,00,1
247,247,0,0,300580,00,000000,00,00,00,0,00,1
248,248,0,0,3005a0,00,000000,0b,00,00,0,00,1
249,249,0,1,300b80,00,ffffff,0b,00,00,0,00,1
250,250,0,1,300ba0,00,ffffff,0b,00,00,0,00,1
251,251,0,0,300bc0,00,000000,00,00,00,0,00,1
252,252,0,0,300be0,00,000000,0b,00,00,0,00,1
253,253,0,1,300b00,00,ffffff,0b,00,00,0,00,1
254,254,0,1,300b20,00,ffffff,0b,00,00,0,00,1
255,255,0,0,300b40,00,000000,00,00,00,0,00,1
256,256,0,0,300b60,00,000000,10,00,00,0,00,1
257,257,0,1,301000,00,ffffff,10,00,00,0,00,1
258,258,0,1,301020,00,ffffff,10,00,00,0,00,1
259,259,0,0,301040,00,000000,00,00,00,0,00,1
260,260,0,0,301060,00,000000,10,00,00,0,00,1
261,261,0,1,301040,00,ffffff,10,00,00,0,00,1
262,262,0,1,301060,00,ffffff,10,00,00,0,00,1
263,263,0,0,301080,00,000000,00,00,00,0,00,1
264,264,0,0,3010a0,00,000000,10,00,00,0,00,1
265,265,0,1,301080,00,ffffff,10,00,00,0,00,1
266,266,0,1,3010a0,00,ffffff,10,00,00,0,00,1
267,267,0,0,3010c0,00,000000,00,00,00,0,00,1
268,268,0,0,3010e0,00,000000,10,00,00,0,00,1
269,269,0,1,3010c0,00,ffffff,10,00,00,0,00,1
270,270,0,1,3010e0,00,ffffff,10,00,00,0,00,1
271,271,0,0,301100,00,000000,00,00,00,0,00,1
272,272,0,0,301120,00,000000,11,00,00,0,00,1
273,273,0,1,301100,00,ffffff,11,00,00,0,00,1
274,274,0,1,301120,00,ffffff,11,00,00,0,00,1
275,275,0,0,301140,00,000000,00,00,00,0,00,1
276,276,0,0,301160,00,000000,14,00,00,0,00,1
277,277,0,1,301400,00,ffffff,14,00,00,0,00,1
278,278,0,1,301420,00,ffffff,14,00,00,0,00,1
279,279,0,0,301440,00,000000,00,00,00,0,00,1
280,280,0,0,301460,00,000000,11,00,00,0,00,1
281,281,0,1,301180,00,ffffff,11,00,00,0,00,1
282,282,0,1,3011a0,00,ffffff,11,00,00,0,00,1
283,283,0,0,3011c0,00,000000,00,00,00,0,00,1
284,284,0,0,3011e0,00,000000,11,00,00,0,00,1
285,285,0,1,301140,00,ffffff,11,00,00,0,00,1
286,286,0,1,301160,00,ffffff,11,00,00,0,00,1
287,287,0,0,301180,00,000000,00,00,00,0,00,1
288,288,0,0,3011a0,00,000000,14,00,00,0,00,1
289,289,0,1,301440,00,ffffff,14,00,00,0,00,1
290,290,0,1,301460,00,ffffff,14,00,00,0,00,1
291,291,0,0,301480,00,000000,00,00,00,0,00,1
292,292,0,0,3014a0,00,000000,12,00,00,0,00,1
293,293,0,1,301200,00,ffffff,12,00,00,0,00,1
294,294,0,1,301220,00,ffffff,12,00,00,0,00,1
295,295,0,0,301240,00,000000,00,00,00,0,00,1
296,296,0,0,301260,00,000000,12,00,00,0,00,1
297,297,0,1,301280,00,ffffff,12,00,00,0,00,1
298,298,0,1,3012a0,00,ffffff,12,00,00,0,00,1
299,299,0,0,3012c0,00,000000,00,00,00,0,00,1
300,300,0,0,3012e0,00,000000,12,00,00,0,00,1
301,301,0,1,301240,00,ffffff,12,00,00,0,00,1
302,302,0,1,301260,00,ffffff,12,00,00,0,00,1
303,303,0,0,301280,00,000000,00,00,00,0,00,1
304,304,0,0,3012a0,00,000000,12,00,00,0,00,1
305,305,0,1,3012c0,00,ffffff,12,00,00,0,00,1
306,306,0,1,3012e0,00,ffffff,12,00,00,0,00,1
307,307,0,0,301300,00,000000,00,00,00,0,00,1
308,308,0,0,301320,00,000000,13,00,00,0,00,1
309,309,0,1,301300,00,ffffff,13,00,00,0,00,1
310,310,0,1,301320,00,ffffff,13,00,00,0,00,1
311,311,0,0,301340,00,000000,00,00,00,0,00,1
312,312,0,0,301360,00,000000,13,00,00,0,00,1
313,313,0,1,301380,00,ffffff,13,00,00,0,00,1
314,314,0,1,3013a0,00,ffffff,13,00,00,0,00,1
315,315,0,0,3013c0,00,000000,00,00,00,0,00,1
316,316,0,0,3013e0,00,000000,14,00,00,0,00,1
317,317,0,1,3014c0,00,ffffff,14,00,00,0,00,1
318,318,0,1,3014e0,00,ffffff,14,00,00,0,00,1
319,319,0,0,301500,00,000000,00,00,00,0,00,1
320,320,0,0,301520,00,000000,14,00,00,0,00,1
321,321,0,1,301480,00,ffffff,14,00,00,0,00,1
322,322,0,1,3014a0,00,ffffff,14,00,00,0,00,1
323,323,0,0,3014c0,00,000000,00,00,00,0,00,1
324,324,0,0,3014e0,00,000000,15,00,00,0,00,1
325,325,0,1,301540,00,ffffff,15,00,00,0,00,1
326,326,0,1,301560,00,ffffff,15,00,00,0,00,1
327,327,0,0,301580,00,000000,00,00,00,0,00,1
328,328,0,0,3015a0,00,000000,15,00,00,0,00,1
329,329,0,1,3015c0,00,ffffff,15,00,00,0,00,1
330,330,0,1,3015e0,00,ffffff,15,00,00,0,00,1
331,331,0,0,301600,00,000000,00,00,00,0,00,1
332,332,0,0,301620,00,000000,16,00,00,0,00,1
333,333,0,1,301640,00,ffffff,16,00,00,0,00,1
334,334,0,1,301660,00,ffffff,16,00,00,0,00,1
335,335,0,0,301680,00,000000,00,00,00,0,00,1
336,336,0,0,3016a0,00,000000,16,00,00,0,00,1
337,337,0,1,301600,00,ffffff,16,00,00,0,00,1
338,338,0,1,301620,00,ffffff,16,00,00,0,00,1
339,339,0,0,301640,00,000000,00,00,00,0,00,1
